target,layer,M_train,N,mean_delta,sd_delta,se_delta,ci_lo_95,ci_hi_95,ci_method,W,p_sign_one_sided,mean_test_true,mean_test_init
C_star,0,1024,100,0.20000556468963623,0.5531879780148028,0.05531879780148028,0.06671378612518311,2.857837465405464,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,4.2400961065292355,4.440101671218872
C_star,1,1024,100,0.5401629340648652,0.45106722796815196,0.0451067227968152,0.28739078640937804,2.483857446908948,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,3.781228266954422,4.321391201019287
C_star,2,1024,100,1.7381270706653595,0.28657175796935624,0.028657175796935625,1.2733159899711608,2.377694913744924,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,2.535240248441696,4.273367319107056
C_star,3,1024,100,2.5421199655532836,0.25323467925487536,0.025323467925487536,1.9866860330104827,2.960179850459098,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,1.7101869773864746,4.252306942939758
C_star,4,1024,100,2.8477734649181365,0.2506867712389607,0.02506867712389607,2.32749243080616,3.1456747621297834,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,1.3850856077671052,4.232859072685241
C_star,5,1024,100,2.9069324707984925,0.2062977334072253,0.02062977334072253,2.4270578771829605,3.188370418548584,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,1.3111728739738464,4.218105344772339
C_star,6,1024,100,2.866010289788246,0.23764152848517298,0.0237641528485173,2.2508525371551515,3.2197554260492325,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,1.3339343255758285,4.199944615364075
C_star,7,1024,100,2.8415192437171934,0.26613252705925133,0.026613252705925135,2.24240400493145,3.1677447110414505,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,1.3460329389572143,4.187552182674408
C_star,8,1024,100,1.9466480445861816,0.511419495572919,0.0511419495572919,0.8604673385620117,2.663891518115997,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,2.2230496311187746,4.169697675704956
loglik_true_params_raw_mse,0,1024,100,2595.4925,345.0914383680239,34.50914383680239,1987.8765625,3243.421093749999,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,314250.6403125,316846.1328125
loglik_true_params_raw_mse,1,1024,100,91917.2109375,11909.769910411114,1190.9769910411114,70478.966015625,112246.281640625,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,224195.3790625,316112.59
loglik_true_params_raw_mse,2,1024,100,131602.97875,13846.972978479385,1384.6972978479384,104851.5109375,155727.68359374997,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,183824.286875,315427.265625
loglik_true_params_raw_mse,3,1024,100,161948.065859375,15635.790324326485,1563.5790324326485,133456.262890625,191001.0640625,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,152747.132890625,314695.19875
loglik_true_params_raw_mse,4,1024,100,188662.547578125,13266.101631450943,1326.6101631450942,158055.377734375,211109.64882812498,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,125366.111171875,314028.65875
loglik_true_params_raw_mse,5,1024,100,206303.817109375,11279.062284687689,1127.9062284687689,182352.9947265625,223207.9376953125,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,107178.511640625,313482.32875
loglik_true_params_raw_mse,6,1024,100,216170.6596875,7905.208204222012,790.5208204222012,202033.97890625,229950.47148437498,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,96618.888125,312789.5478125
loglik_true_params_raw_mse,7,1024,100,221193.793515625,5694.349423937458,569.4349423937458,210461.4142578125,231312.82597656248,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,90862.569609375,312056.363125
loglik_true_params_raw_mse,8,1024,100,213447.00734375,5214.313797887684,521.4313797887684,203003.2775390625,223217.38515625,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,97868.67359375,311315.6809375
sigma_mle_sqrt,0,1024,100,0.0005242729187011719,0.009379655353164026,0.0009379655353164027,-0.02804870903491974,0.004681119322776786,empirical_2.5_97.5_percentile_of_members,93,1.363071866403019e-20,0.5937469232082367,0.5942711961269379
sigma_mle_sqrt,1,1024,100,0.05183089137077332,0.027001445872759922,0.0027001445872759924,-0.02283475548028946,0.08367823809385298,empirical_2.5_97.5_percentile_of_members,96,3.224844447881771e-24,0.5422654604911804,0.5940963518619538
sigma_mle_sqrt,2,1024,100,0.19675001442432405,0.059973787887268024,0.005997378788726802,0.04108210057020188,0.2891672752797603,empirical_2.5_97.5_percentile_of_members,98,3.9845364322713306e-27,0.39646471560001373,0.5932147300243378
sigma_mle_sqrt,3,1024,100,0.34003732338547704,0.07050379858363104,0.0070503798583631035,0.16201476454734803,0.4144625060260296,empirical_2.5_97.5_percentile_of_members,99,7.967495142732219e-29,0.2527931772172451,0.5928305006027221
sigma_mle_sqrt,4,1024,100,0.4222543472796679,0.04494372525691479,0.004494372525691479,0.3133049815893173,0.47601414043456314,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.17050085835158824,0.592755205631256
sigma_mle_sqrt,5,1024,100,0.45065190538764,0.04446980731117914,0.004446980731117914,0.35356685854494574,0.5017902329564095,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.14171865537762643,0.5923705607652664
sigma_mle_sqrt,6,1024,100,0.45527849324047565,0.03585071544891835,0.003585071544891835,0.33884731158614156,0.49671456813812254,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.13630875818431376,0.5915872514247894
sigma_mle_sqrt,7,1024,100,0.45513785526156425,0.03529107925744309,0.003529107925744309,0.35089677907526495,0.49846612494438886,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31,0.1359043188393116,0.5910421741008759
sigma_mle_sqrt,8,1024,100,0.32917086392641065,0.08004763837447923,0.008004763837447923,0.18777416348457338,0.41256592012941834,empirical_2.5_97.5_percentile_of_members,98,3.9845364322713306e-27,0.2608327236771584,0.5900035876035691
