target,layer,base_rep,M_train,mean_test_simple,mean_test_attn,attn_improvement_N,attn_improvement_mean_delta,attn_improvement_sd_delta,attn_improvement_se_delta,attn_improvement_ci_lo_95,attn_improvement_ci_hi_95,attn_improvement_ci_method,attn_improvement_W,attn_improvement_p_sign_one_sided
C_star,0,true,1024,4.2400961065292355,3.156070518493652,100,1.0840255880355836,0.5593874322296337,0.05593874322296337,-1.60737843811512,1.2705176711082458,empirical_2.5_97.5_percentile_of_members,96,3.224844447881771e-24
C_star,0,perm_glob,1024,4.324184619188308,3.1639950275421143,100,1.1601895916461944,0.5714921059589493,0.05714921059589493,-1.5854695975780486,1.347809898853302,empirical_2.5_97.5_percentile_of_members,96,3.224844447881771e-24
C_star,1,true,1024,3.781228266954422,2.3841449856758117,100,1.3970832812786103,0.4620147996947483,0.04620147996947483,-0.5697225332260132,1.7062214374542235,empirical_2.5_97.5_percentile_of_members,96,3.224844447881771e-24
C_star,1,perm_glob,1024,4.227141109704971,3.1288901448249815,100,1.0982509648799896,0.5340264213791618,0.05340264213791618,-1.3034446090459824,1.3478185474872586,empirical_2.5_97.5_percentile_of_members,96,3.224844447881771e-24
C_star,2,true,1024,2.535240248441696,1.0751917362213135,100,1.4600485122203828,0.27913742495644955,0.027913742495644954,0.7623369872570038,1.9110394224524498,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
C_star,2,perm_glob,1024,4.120514293909073,2.9466673588752745,100,1.1738469350337981,0.5466297252845748,0.054662972528457476,-1.1084507077932357,1.799915868043899,empirical_2.5_97.5_percentile_of_members,96,3.224844447881771e-24
C_star,3,true,1024,1.7101869773864746,0.5108003470301629,100,1.1993866303563119,0.2568456647217561,0.025684566472175607,0.7420078918337822,1.7471053130924692,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
C_star,3,perm_glob,1024,4.0245831370353695,2.6617023134231568,100,1.3628808236122132,0.6173710577519044,0.06173710577519044,-0.680250459909439,2.3029897838830946,empirical_2.5_97.5_percentile_of_members,96,3.224844447881771e-24
C_star,4,true,1024,1.3850856077671052,0.3132156030833721,100,1.071870004683733,0.2296563958852361,0.022965639588523608,0.8235132217407226,1.544745797663927,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
C_star,4,perm_glob,1024,3.955192848443985,2.4216143906116487,100,1.5335784578323364,0.602254286905387,0.06022542869053869,-0.24693121910095206,2.437643977999687,empirical_2.5_97.5_percentile_of_members,97,1.3154334480650894e-25
C_star,5,true,1024,1.3111728739738464,0.2563139559328556,100,1.0548589180409909,0.20048152021196822,0.02004815202119682,0.7884066820144653,1.5151616171002387,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
C_star,5,perm_glob,1024,3.9030821144580843,2.2529192757606507,100,1.6501628386974334,0.5422971627686968,0.05422971627686968,0.1853321194648743,2.485185223817825,empirical_2.5_97.5_percentile_of_members,97,1.3154334480650894e-25
C_star,6,true,1024,1.3339343255758285,0.26035427883267404,100,1.0735800467431544,0.22108122784395598,0.022108122784395598,0.7083123441785574,1.6418451983481646,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
C_star,6,perm_glob,1024,3.870716016292572,2.1122156131267547,100,1.7585004031658173,0.47733855089454486,0.047733855089454484,0.6578492909669876,2.5744193345308304,empirical_2.5_97.5_percentile_of_members,99,7.967495142732219e-29
C_star,7,true,1024,1.3460329389572143,0.29782547667622566,100,1.0482074622809887,0.23878954655958468,0.02387895465595847,0.7394931487739086,1.563357818126678,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
C_star,7,perm_glob,1024,3.8120304417610167,2.0634936010837555,100,1.7485368406772615,0.49260597200860295,0.0492605972008603,0.4764549046754837,2.398623588681221,empirical_2.5_97.5_percentile_of_members,98,3.9845364322713306e-27
C_star,8,true,1024,2.2230496311187746,0.7522431156039238,100,1.4708065155148506,0.47115721056737203,0.047115721056737205,0.7965056493878364,2.555268821120261,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
